Client_id,Client_name,Client_Gender,                 age,address,city,province,postalCode,country,Marital_Status,Family_Members,Child_Count,Occupation,Eligible_id,Partner_id
31010,Bruce,Female,59,12915 Cortez Blvd,Brooksville,FL,34613,US,M,2,0,Laborers,52281,81955
57513,Nimo,Female,44,11671 Se Federal Hwy,Hobe Sound,FL,33455,US,M,3,1,,25237,93743
20979,Alexandra,Male,41,8792 Navarre Pkwy,Navarre,FL,32566,US,M,2,0,Managers,94126,94381
95841,Stacy,Male,33,825 E 49th St,Hialeah,FL,33013,US,M,3,1,HR,4650,79483
114684,Bruce,Female,59,2750 W 68th St Ste 104,Hialeah,FL,33016,US,M,4,2,Drivers,76682,84087
111667,Evelyn,Male,57,36172 Hwy 27,Haines City,FL,33844,US,,1,0,Cleaning,108951,109456
20101,Emma,Male,56,52 Tuscan Way Ste 208,Saint Augustine,FL,32092,US,,,4,Cleaning,68472,128594
63212,Vero,Male,51,1232 Providence Blvd,Deltona,FL,32725,US,S,1,0,Accountants,74283,17154
8256,Sylvie,Male,34,2370 US Highway 331 S,DeFuniak Springs,FL,32435,US,M,3,1,,110455,87580
56161,Jen,Female,43,1508 US Highway 331 S,DeFuniak Springs,FL,32435,US,S,1,0,Laborers,22978,81093
121196,Kay,Male,52,2434 US Highway 331 S,DeFuniak Springs,FL,32435,US,D,1,0,Sales,11563,10581
23788,Jo,Male,33,9975 Corkscrew Rd,Estero,FL,33928,US,M,2,0,Laborers,86356,88781
129579,Lisa,Female,29,519 Brandon Town Center Mall,Brandon,FL,33511,US,S,1,0,,8735,16205
127516,Fernando And Lenin,Male,34,865 S Main St,Belle Glade,FL,33430,US,M,2,0,,18739,60412
18012,Angela,Male,31,339 US Highway 27 S,Avon Park,FL,33825,US,M,2,0,,16577,83620
45561,Laurine,Female,55,1498 US Highway 17 N,Wauchula,FL,33873,US,M,3,1,Laborers,64264,87506
5228,Chris,Male,55,1608 W Orange Blossom Trl,Apopka,FL,32712,US,M,2,,,66237,79523
18311,Uli,Male,32,460 Airways Ave,Savannah,GA,31408,US,S,1,0,Core,118419,7935
59891,Sol,Male,38,1510 N Summit St,Arkansas City,KS,67005,US,M,4,2,,71203,19651
60651,Cs,Male,55,2613 Central Ave,Dodge City,KS,67801,US,M,2,0,Laborers,105076,106219
51013,Lara,Male,28,2501 Se Delaware Ave,Ankeny,IA,50021,US,D,1,0,,75827,115511
91746,Tom,Male,23,2501 Se Delaware Ave,Ankeny,IA,50021,US,M,2,0,Cleaning,28519,84591
4233,Sunder,Male,32,134 W Kamehameha Ave,Kahului,HI,96732,US,M,3,1,Core,18590,353
14187,Waldemar,Male,43,230 S Duff Ave,Ames,IA,50010,US,M,2,0,Core,119919,109232
19669,Khem,Male,32,2817 E 13th St,Ames,IA,50010,US,S,1,0,Accountants,67407,114524
31147,Sahr,Male,46,1020 E 1st St,Ankeny,IA,50021,US,W,1,0,Laborers,46316,4834
128842,Ali+Scott,Male,53,2450 S Vista Ave,Boise,ID,83705,US,M,2,0,,120150,73726
27562,Elisabeth,Male,34,1807 N Church St,Burlington,NC,27217,US,M,2,0,Accountants,102843,74358
775,Sarah,Male,57,2535 18th St,Bettendorf,IA,52722,US,M,2,0,,52241,74939
14070,Fredah,Female,37,9320 Steele Creek Rd,Charlotte,NC,28273,US,M,3,,Laborers,1756,36148
106007,Khem,Female,59,9640 Mariposa Rd,Hesperia,CA,92344,US,M,2,0,Managers,90238,129425
116004,Katherine,Male,33,17021 Main St,Hesperia,CA,92345,US,M,2,0,Managers,88056,3332
68886,Ming,Male,56,14485 Inglewood Ave,Hawthorne,CA,90250,US,M,2,0,Accountants,14767,34820
72413,Paula,Female,48,18070 Chatsworth St,Granada Hills,CA,91344,US,M,4,2,Core,33715,19394
73604,LulÃº,Male,43,1200 Forrest Ave,Dover,DE,19904,US,M,3,1,High skill tech,104615,108755
48415,Obed,Male,54,1200 Forrest Ave,Dover,DE,19904,US,S,1,0,,66074,23739
105708,Karen,Female,51,300 Mccarter Rd,Fountain Inn,SC,29644,US,S,1,0,,126500,16605
65579,Michael,Female,26,2040 Cumberland St,Lebanon,PA,17042,US,M,4,2,Cleaning,75685,61210
73058,White,Male,40,1451 Quentin Rd,Lebanon,PA,17042,US,,2,0,,94411,43108
65585,Paz,Male,39,609 Naamans Rd,Claymont,DE,19703,US,S,1,,Core,50840,56233
8346,Irene,Male,50,5800 W Chandler Blvd,Chandler,AZ,85226,US,S,1,0,Laborers,10129,83327
79678,Karene,Female,41,1205 Commons Cir,Plover,WI,54467,US,M,3,1,Drivers,84443,127967
112483,Viviana,Female,51,1099 S Blackhawk St,Aurora,CO,80012,US,M,2,0,Laborers,35782,110557
31698,Sara,Female,60,406 N Pershing St,Energy,IL,62933,US,M,2,0,Laborers,22504,14549
74030,Sarah,Male,52,201 Lee Town Rd,Pea Ridge,AR,72751,US,M,2,0,Core,7536,42526
124931,Marie,Male,48,3067 Wilma Rudolph Blvd,Clarksville,TN,37040,US,,2,0,Cleaning,55659,93877
73924,Gus,Male,48,1635 W State St,Alliance,OH,44601,US,M,2,0,Laborers,7102,100933
76073,Myung,Male,39,5311 Highway 5 N Ste 240,Bryant,AR,72022,US,M,3,1,High skill tech,110812,52155
104623,RenÃ©e,Male,47,3001 N Reynolds Rd,Bryant,AR,72022,US,D,2,1,Sales,107707,118979
58523,Henry,Male,40,2275 E Butler Ave,Flagstaff,AZ,86004,US,W,1,0,,14329,77898
121929,Sylvia,Female,45,1818 6th St,Brookings,SD,57006,US,M,3,1,,6769,6305
30704,Syl,Male,26,1818 6th St,Brookings,SD,57006,US,D,1,0,,73774,59276
58896,Lorenzo,Female,52,3051 W Apache Trl,Apache Junction,AZ,85120,US,M,2,0,,14733,112475
26920,Waldemar,Male,54,Route 52 Airport Square,Bluefield,WV,24701,US,S,1,0,Laborers,89742,32278
13884,Annette,Male,54,102 Harper Park Dr,Beckley,WV,25801,US,W,1,0,,60026,25877
87681,Newyorkroomwithaview,Female,50,1912 Harper Rd,Beckley,WV,25801,US,M,2,0,Core,74777,79005
81719,Tessa,Female,35,1855 Deerfield Rd,Highland Park,IL,60035,US,M,3,1,Drivers,48198,64995
85554,Waundell,Male,44,3 Clarksburg Rd,Buckhannon,WV,26201,US,M,2,0,Medicine,83500,28537
12645,Young,Male,53,302 Yellowstone Ave,Cody,WY,82414,US,M,2,0,,81191,124330
101275,Bruce,Female,35,1902 Mountain View Dr,Cody,WY,82414,US,M,3,1,,85098,23453
95982,Coral,Male,60,5320 Yellowstone Rd,Cheyenne,WY,82009,US,W,1,0,,54006,115776
74610,Carol,Male,53,1100 Poplar View Ln N,Collierville,TN,38017,US,M,2,0,Sales,532,94145
76449,Sara,Male,48,967 W Poplar Ave,Collierville,TN,38017,US,S,2,1,Sales,69498,90388
14030,Laurine,Male,34,2607 Cy Ave,Casper,WY,82604,US,M,3,1,Core,83499,60631
69692,Myrna,Male,54,1860 N Germantown Pkwy,Cordova,TN,38016,US,M,2,0,,79484,30741
47648,Campbell,Male,51,310 W Grand Xing,Mobridge,SD,57601,US,M,3,1,,117536,15994
52168,Doug,Male,31,1502 N Clinton St,Defiance,OH,43512,US,M,4,2,Laborers,36296,14882
60251,Mark,Male,35,1133 N Clinton St,Defiance,OH,43512,US,M,2,0,Managers,37763,106949
35881,Rahul,Male,35,11 W Dayton Yellow Springs Rd,Fairborn,OH,45324,US,M,2,0,,39829,56686
28852,Miyoung,Male,38,1205 6th Ave Se,Aberdeen,SD,57401,US,S,1,0,Private service,55528,26874
55341,Monica,Male,36,2260 Highway 394,Blountville,TN,37617,US,M,2,0,,36178,55104
84553,Marylyn,Female,58,214 Carolina Pottery Dr,Blountville,TN,37617,US,M,2,0,,61329,4065
100249,Kathleen R.,Male,40,1313 Highway 394,Blountville,TN,37617,US,M,2,0,Core,33066,46644
2463,Teresa,Male,54,1313 Highway 394,Blountville,TN,37617,US,M,2,0,,104269,41729
22924,Robert,Male,34,100 Prince Royal Dr,Berea,KY,40403,US,M,2,0,,55638,76977
25542,Alex,Female,31,16311 State Route 267,East Liverpool,OH,43920,US,M,2,0,Core,291,66019
115972,Claudia,Male,51,900 W 8th St,East Liverpool,OH,43920,US,M,2,,Managers,91861,92493
2980,Shane,Male,33,723 Saratoga Ave,Lima,OH,45804,US,S,2,1,Core,18066,111685
125097,Laurie,Male,55,23777 Us Route 23,Circleville,OH,43113,US,D,,1,Managers,105611,100247
46701,Jessica,Male,42,414 Water St,Chardon,OH,44024,US,W,1,0,Sales,42301,78462
108006,Erina,Female,34,2005 S Main St,Bellefontaine,OH,43311,US,M,2,0,,60151,62518
19578,Lee,Female,33,2000 E Edgerton Rd,Broadview Heights,OH,44147,US,M,2,0,,102833,26656
59508,Jullett,Male,38,10037 Broadview Rd,Broadview Heights,OH,44147,US,,2,0,High skill tech,67529,100924
56446,Marlaine,Female,50,475 Chippewa Mall Dr,Chippewa Falls,WI,54729,US,S,1,0,High skill tech,21120,103065
48800,Charlotte,Male,43,212 S 7th St,Delavan,WI,53115,US,M,2,0,,34336,81592
129592,Mark,Female,61,1931 E Geneva St,Delavan,WI,53115,US,M,2,0,,4953,54648
114039,Mark,Male,47,2680 Market St,Christiansburg,VA,24073,US,D,1,0,Sales,42063,71420
66800,Mark,Female,48,2650 Market St,Christiansburg,VA,24073,US,M,2,0,Laborers,69375,61201
106799,Bob,Female,44,2680 Market St,Christiansburg,VA,24073,US,W,1,0,,128189,98343
47057,Anka,Male,35,1004 S Main St,Farmville,VA,23901,US,M,2,0,Drivers,20090,122782
61824,Douglas,Male,35,1709 Allied Ln,Charlottesville,VA,22903,US,M,4,2,Managers,999,66788
68207,Kathleen R.,Male,50,1835 Ne Division St,Gresham,OR,97030,US,M,2,0,Sales,49127,46
125512,Wayne,Male,41,9575 Dyer St,El Paso,TX,79924,US,M,2,0,Core,53736,19886
93019,Waundell,Male,41,2202 N Richmond Rd,Wharton,TX,77488,US,M,2,0,Waiters/barmen,72955,84113
87296,Jenny,Male,39,3120 W Fm 120,Denison,TX,75020,US,M,4,2,,21705,83432
76748,Paul,Female,42,1705 Expressway 83,Penitas,TX,78576,US,M,2,0,Laborers,77807,66683
85879,Tami,Male,38,2280 E Garrison St,Eagle Pass,TX,78852,US,M,4,2,Cooking,1819,108800
63961,Jason,Male,53,2207 Veterans Blvd,Del Rio,TX,78840,US,M,3,1,Laborers,93043,30404
94760,Pete,Female,59,2208 Highway 21 E,Bryan,TX,77803,US,M,2,0,Laborers,112253,31781
49608,Gus,Female,36,1216 W Henderson St,Cleburne,TX,76033,US,M,4,2,,88581,52076
80520,Sally,Female,54,801 Ne Alsbury Blvd,Burleson,TX,76028,US,M,3,1,Core,12895,24046
23328,Leonardo,Male,40,1105 N Burleson Blvd,Burleson,TX,76028,US,M,2,0,,37446,67257
13560,Alex,Male,47,5301 Bellaire Blvd,Bellaire,TX,77401,US,W,1,0,Cooking,116275,127929
119121,Wayne,Male,53,3824 S Clack St,Abilene,TX,79606,US,M,2,0,,41103,9506
42917,Vasili,Male,46,2305 N Saint Marys St,Beeville,TX,78102,US,M,2,0,Cooking,104717,3073
52954,S.M.,Female,39,90571 Main St,Pettus,TX,78146,US,M,2,0,Drivers,76736,1442
83112,Ori,Male,40,210 W Sinton St,Sinton,TX,78387,US,M,4,2,,102110,92573
88574,Ana,Female,28,96 Cannan Dr,Angleton,TX,77515,US,M,2,0,,110849,112930
111570,I,Male,35,1890 Bethlehem Pike,Flourtown,PA,19031,US,S,1,0,Sales,55516,16964
28662,R,Female,55,707 Washington Ave,Chestertown,MD,21620,US,M,2,0,,45919,10234
27177,Simon,Male,43,707 Washington Ave,Chestertown,MD,21620,US,M,2,0,,53126,80653
129585,Agnes,Male,48,1201 E Main St,Alice,TX,78332,US,,2,0,,56379,9406
35759,Linda,Female,58,8586 S Orange Blossom Trl,Orlando,FL,32809,US,S,1,0,Security,23354,97872
49475,Dave,Male,33,6385 Dobbin Rd,Columbia,MD,21045,US,M,2,0,,121726,67668
78904,Drica,Male,36,6241 Washington Blvd,Elkridge,MD,21075,US,M,2,0,Accountants,12295,51503
29619,Mark,Female,53,505 S Oxford Valley Rd,Fairless Hills,PA,19030,US,M,2,0,,33156,36370
77512,Betty,Female,47,505 S Oxford Valley Rd,Fairless Hills,PA,19030,US,M,2,0,Laborers,8971,43553
31631,Ricardo & Ashlie,Female,31,888 E Main St,Ephrata,PA,17522,US,M,4,2,Core,83820,22878
38913,Leslie,Male,57,1247 Theatre Dr,Ottumwa,IA,52501,US,M,2,0,Sales,126588,12418
35366,Harrison,Male,53,470 Cummings St,Abingdon,VA,24210,US,S,1,0,Drivers,79412,79198
111817,Jessica,Male,55,470 Cummings St,Abingdon,VA,24210,US,M,2,0,Cleaning,69967,49768
12259,Blanca,Male,45,6308 Richmond Hwy,Alexandria,VA,22306,US,W,1,0,,84654,19114
19790,Wayne,Male,53,6308 Richmond Hwy,Alexandria,VA,22306,US,M,2,0,Laborers,108280,49092
33260,Cynthia,Male,37,1104 W High St,Ebensburg,PA,15931,US,M,2,0,,120826,28279
107079,Mich,Male,44,285 Jamesway Rd,Ebensburg,PA,15931,US,M,3,1,,1132,75417
15174,Rachel,Male,49,4105 Peach St,Erie,PA,16509,US,D,1,0,IT,38583,20965
23620,Laurine,Female,46,3720 Pine Ave,Erie,PA,16504,US,M,3,1,,2703,61265
18128,Greta,Female,43,4868 Houston Rd,Florence,KY,41042,US,M,4,2,Core,112988,33553
105291,Frank,Male,38,105 S 3rd St,Coopersburg,PA,18036,US,S,1,0,Sales,68287,14746
56451,Bethania,Female,43,1306 E Main St,Clarion,PA,16214,US,M,2,0,,45251,127581
102068,Tunji,Male,49,4205 Washington Rd,Canonsburg,PA,15317,US,M,2,0,,85582,59413
57995,Anna/Fonzy,Female,42,453 Valley Brook Rd Ste 200,Canonsburg,PA,15317,US,M,2,0,Drivers,72558,79032
146,Colette&Sean,Male,22,1208 W Front St,Berwick,PA,18603,US,M,4,2,Sales,98436,115326
18770,Brie,Male,40,4960 Library Rd,Bethel Park,PA,15102,US,W,1,0,Waiters/barmen,97598,98959
42774,Sheila,Female,39,9 Hudson Hollow Rd,Frankfort,KY,40601,US,M,2,0,Drivers,23986,122131
13776,Lissette,Male,51,1110 N 90th St,Seattle,WA,98103,US,M,2,0,Sales,40756,61370
103702,Lissette,Female,49,114 W Wabash Ave,Crawfordsville,IN,47933,US,M,2,0,,76561,112303
69826,Lissette,Male,53,1518 S Washington St,Crawfordsville,IN,47933,US,M,2,0,,20360,87638
57906,Olivia,Female,34,3921 S 76th St,Milwaukee,WI,53220,US,M,3,1,Managers,85057,16141
31358,Daniel,Male,33,1075 N Fairfield Rd,Layton,UT,84041,US,S,1,0,,108406,42372
92805,Maya,Male,50,1607 Elkhart Rd,Goshen,IN,46526,US,M,3,1,IT,12894,36721
104375,Scott,Male,39,909 Hyatt St,Gaffney,SC,29341,US,D,1,0,,24461,83056
109896,Lissette,Male,59,2460 Mountain City Hwy,Elko,NV,89801,US,S,1,0,Waiters/barmen,35641,41834
102955,Dennis & Naoko,Male,30,2598 Idaho St,Elko,NV,89801,US,M,2,0,Sales,4859,59284
44736,AntonÃ­n,Male,36,313 Middle Country Rd,Coram,NY,11727,US,M,2,0,Sales,47066,63966
28135,Emily,Male,40,9711 Fort Meade Rd,Laurel,MD,20707,US,M,4,2,,83225,9325
55871,Carol Gloria,Male,53,778 Brookway Blvd,Brookhaven,MS,39601,US,M,6,4,Sales,121336,5882
8818,Vie,Female,34,92 W Market St,Corning,NY,14830,US,M,2,0,Managers,112573,39428
86148,RenÃ©e,Female,37,2 Wicks Blvd,Corning,NY,14830,US,M,2,0,Laborers,33282,112836
120162,Olivia,Male,42,1104 Sunrise Hwy,Amityville,NY,11701,US,M,2,0,Cleaning,107352,120027
117547,Helene,Female,41,425 E Main St,Pickens,SC,29671,US,S,1,0,Drivers,35099,49940
